cod_cliente,data_cadastro,data_primeira_compra,uf,cidade
20832,19991011,20071029,0,2
20960,19991021,20070906,0,0
21120,19991108,20070815,0,0
21216,19991116,20070809,0,17
21280,19991118,20070829,0,9
21376,19991124,20070816,0,11
21728,19991216,20071002,0,13
21808,20000107,20070817,0,0
22144,20000308,20080613,0,0
22176,20000309,20070810,0,6
22384,20000412,20070827,0,0
22416,20000412,20070813,0,0
22560,20000426,20070810,0,0
22640,20000512,20070815,0,5
22800,20000626,20070830,0,0
22912,20000720,20070828,0,2
23072,20000831,20070810,0,0
23248,20001123,80702,0,0
23280,20001206,20070817,0,0
23328,20001212,20070809,0,0
23472,20010119,20071015,0,2
23552,20010220,20070822,0,3
23616,20010309,20070815,0,5
23776,20010419,20141010,0,13
23936,20010622,20070817,0,0
24096,20010725,20070815,0,0
24304,20011109,20071004,0,0
24352,20020108,20070817,0,0
24400,20020122,20070831,0,5
24464,20020226,20071016,0,0
24544,20020405,20070903,0,2
24624,20020416,20070808,0,3
24816,20020820,20070807,0,0
24960,20020910,20070829,0,3
25120,20021010,20110511,0,0
25200,20021016,20070824,0,0
25312,20021029,20071003,0,3
25408,20021119,20070808,0,3
25520,20030108,20070816,0,9
25776,20030312,20080807,0,18
25936,20030325,20070815,0,5
25968,20030325,20110111,0,12
25984,20030326,20070813,0,0
26112,20030402,20070820,0,18
26208,20030429,20070817,0,0
26224,20030430,20071212,0,5
26336,20030508,20070816,0,9
26352,20030509,20070905,0,0
26368,20030509,20070912,0,0
26512,20030515,20070817,0,0
26688,20030602,20070807,0,0
26768,20030611,20080709,0,18
26784,20030611,20091007,0,0
26832,20030624,20070906,0,11
26928,20030709,20070917,0,18
26960,20030722,20070809,0,11
27056,20030723,20070810,0,6
27088,20030729,20070831,0,5
27120,20030806,20070830,0,19
27456,20030926,20071004,0,15
27520,20031003,20070817,0,0
27536,20031006,20070910,0,2
27616,20031013,20070919,0,12
27632,20031014,20071120,0,0
27712,20031030,20070820,0,19
27776,20031110,20070906,0,0
27920,20031125,20070808,0,12
28000,20031128,20070820,0,10
28144,20040113,20110511,0,0
28160,20040116,20070809,0,14
28176,20040116,20070809,0,14
28208,20040123,20070912,0,0
28272,20040210,20070829,0,3
28304,20040211,20090604,0,18
28368,20040212,20070910,0,0
28400,20040217,20070830,0,19
28576,20040312,20070823,0,15
28592,20040312,20071029,0,20
28624,20040312,20070903,0,20
28640,20040312,20070903,0,20
28688,20040312,20070903,0,20
28752,20040312,20101126,0,21
28800,20040324,20130916,0,0
28816,20040325,20071009,0,9
28848,20040326,20110614,0,0
28912,20040407,20080709,0,19
28960,20040416,20071004,0,15
28976,20040416,20071105,0,15
29104,20040519,20100315,0,0
29136,20040611,20070813,0,2
29184,20040618,20080417,0,14
29216,20040621,20101126,0,21
29312,20040701,20071024,0,0
29664,20040411,20070820,0,0
29776,20041208,20071004,0,14
29936,20041124,20080108,0,0
29952,20041124,20070820,0,19
30096,20050105,20070823,0,15
30352,20050225,20070817,0,0
30416,20050311,20070927,0,0
30560,20050505,20070829,0,9
30784,20050628,20070912,0,0
30912,20050727,20070830,0,11
31072,20050906,20070808,0,3
31088,20050908,20071114,0,12
31136,20051014,20070810,0,13
31168,20051111,20070823,0,14
31200,20051111,20070903,0,20
31216,20051117,20070820,0,19
31232,20051121,20070816,0,9
31248,20051122,20080714,0,15
31504,20060123,20070821,0,0
31536,20060201,20070820,0,18
31648,20060426,20070820,0,18
31664,20060517,20070815,0,0
31776,20060621,20070810,0,0
31920,20060630,20070830,0,19
31968,20060706,20071105,0,15
32016,20060721,20071002,0,22
32112,20061003,20070822,0,3
32144,20061017,20070910,0,13
32160,20061019,20070917,0,10
32416,20061213,20070816,0,11
32448,20070104,20070809,0,14
32560,20070314,20070824,0,0
32576,20070316,20091127,0,2
32656,20070405,20070820,0,2
33056,20070619,20070814,2,23
35520,20070619,20100719,0,0
35648,20070720,20071004,0,0
36032,20070725,20070814,0,0
36048,20070725,20070814,0,0
36144,20070727,20070924,0,2
36256,20070728,20070810,0,0
36448,20070730,20070828,0,0
36592,20070731,20070823,0,17
36608,20070731,20070917,0,18
36832,20070810,20070830,0,0
36928,20070817,20070817,0,0
37008,20070831,20070903,0,0
37248,20071003,20071004,0,14
37360,20071015,20071015,0,9
37408,20071017,20071018,0,24
37584,20071109,20130527,0,0
37744,20080111,20080115,0,6
37856,20080207,20080208,0,0
37984,20080317,20080415,0,0
38016,20080325,20080326,0,12
